id,bucket_ids
0,"[2, 277, 22, 281, 158, 289, 163, 169, 438, 313, 443, 62, 192, 196, 71, 202, 74, 341, 342, 215, 472, 103, 365, 495, 255]"
1,"[130, 267, 268, 269, 13, 20, 406, 22, 156, 29, 164, 169, 194, 202, 205, 342, 346, 475, 90, 231, 233, 492, 242, 250]"
2,"[269, 399, 272, 282, 413, 290, 292, 421, 308, 310, 186, 80, 466, 90, 478, 232, 361, 235, 238, 495, 368, 369, 251, 243, 379]"
3,"[263, 136, 40, 171, 48, 187, 319, 448, 66, 323, 69, 73, 75, 76, 208, 469, 85, 92, 349, 478, 227, 374, 127]"
4,"[262, 13, 399, 409, 29, 414, 167, 40, 168, 170, 430, 49, 179, 188, 319, 193, 453, 203, 84, 476, 222, 358, 497, 117, 253]"
5,"[133, 383, 142, 23, 281, 155, 287, 34, 37, 299, 427, 302, 60, 189, 320, 193, 200, 458, 77, 346, 102, 363, 237, 374, 255]"
6,"[0, 133, 5, 140, 401, 412, 169, 170, 431, 52, 181, 311, 55, 327, 76, 462, 341, 479, 480, 97, 487, 104, 118, 379, 127]"
7,"[137, 399, 404, 279, 151, 32, 426, 177, 318, 331, 461, 79, 208, 339, 87, 346, 228, 360, 372, 118, 121, 122, 252]"
8,"[388, 391, 8, 17, 39, 172, 431, 305, 434, 445, 66, 329, 331, 470, 483, 103, 233, 364, 109, 238, 498, 114, 372, 254]"
9,"[7, 269, 284, 415, 416, 289, 428, 301, 49, 444, 192, 195, 197, 335, 467, 87, 346, 347, 489, 106, 108, 248, 250, 251]"
10,"[11, 17, 273, 150, 409, 154, 160, 297, 170, 307, 436, 309, 314, 191, 331, 220, 92, 221, 223, 482, 486, 495, 116, 248, 250]"
11,"[6, 390, 271, 17, 404, 413, 31, 171, 172, 432, 311, 442, 446, 62, 193, 197, 80, 211, 341, 469, 345, 96, 230, 117, 119]"
12,"[2, 259, 263, 264, 144, 273, 410, 282, 163, 47, 51, 309, 56, 337, 345, 217, 91, 220, 99, 103, 496, 241, 376, 251]"
13,"[136, 13, 16, 407, 412, 172, 431, 432, 434, 54, 315, 187, 190, 319, 203, 336, 209, 88, 347, 350, 478, 229, 102, 487, 367]"
14,"[1, 398, 18, 404, 276, 25, 168, 44, 172, 174, 175, 306, 189, 63, 193, 450, 451, 79, 225, 482, 228, 101, 231, 492, 249]"
15,"[3, 390, 391, 8, 264, 401, 404, 428, 301, 59, 68, 327, 77, 81, 470, 473, 95, 484, 360, 105, 106, 108, 365, 492, 118]"
16,"[387, 388, 132, 131, 266, 145, 163, 164, 36, 167, 321, 196, 464, 336, 473, 218, 478, 350, 104, 490, 492, 111, 375, 126]"
17,"[0, 5, 266, 269, 403, 279, 280, 24, 26, 34, 162, 309, 310, 314, 448, 64, 320, 196, 453, 199, 460, 77, 335, 85, 498]"
18,"[386, 274, 406, 282, 26, 414, 159, 160, 417, 289, 34, 312, 313, 316, 454, 336, 465, 344, 478, 358, 361, 111, 119, 249, 255]"
19,"[261, 394, 396, 399, 415, 289, 164, 297, 311, 190, 323, 69, 333, 212, 344, 90, 348, 477, 350, 481, 101, 107, 110, 499, 376]"
20,"[256, 257, 391, 135, 394, 10, 398, 159, 160, 419, 423, 424, 434, 314, 72, 456, 204, 78, 207, 92, 225, 365, 112, 241, 498]"
21,"[147, 408, 417, 164, 293, 49, 52, 326, 455, 456, 75, 469, 470, 88, 475, 351, 480, 479, 104, 361, 490, 489, 245, 373, 248]"
22,"[3, 392, 277, 279, 413, 31, 290, 39, 425, 302, 56, 328, 459, 337, 84, 214, 348, 96, 483, 487, 493, 369, 371, 376, 380]"
23,"[5, 14, 274, 403, 284, 36, 424, 428, 44, 430, 182, 185, 188, 73, 75, 470, 345, 475, 483, 104, 105, 107, 248, 122, 254]"
24,"[257, 130, 3, 12, 272, 284, 30, 35, 291, 42, 432, 310, 443, 450, 72, 330, 76, 333, 343, 219, 482, 362, 237, 373, 248]"
25,"[260, 391, 9, 269, 147, 404, 153, 31, 304, 309, 184, 185, 314, 62, 450, 69, 202, 463, 92, 481, 227, 484, 101, 231, 492]"
26,"[8, 398, 19, 148, 168, 297, 173, 432, 308, 309, 191, 451, 458, 459, 205, 338, 339, 340, 343, 88, 222, 232, 233, 364, 377]"
27,"[0, 386, 142, 410, 27, 284, 36, 299, 175, 50, 439, 317, 63, 327, 208, 337, 347, 492, 493, 114, 373, 248, 121, 382]"
28,"[392, 266, 153, 157, 30, 418, 423, 174, 176, 178, 307, 308, 316, 194, 452, 456, 205, 84, 86, 348, 481, 232, 235, 375]"
29,"[134, 143, 146, 19, 147, 421, 46, 175, 177, 435, 438, 439, 186, 66, 198, 76, 460, 81, 339, 347, 222, 98, 104, 243, 125]"
30,"[262, 140, 270, 274, 403, 404, 276, 24, 170, 47, 431, 180, 312, 74, 204, 334, 84, 345, 347, 120, 222, 370, 248, 378, 251]"
31,"[128, 14, 15, 153, 154, 284, 291, 293, 295, 301, 174, 178, 310, 311, 203, 212, 347, 97, 100, 106, 237, 110, 369, 373, 122]"
32,"[384, 257, 259, 394, 148, 409, 414, 161, 41, 303, 181, 460, 333, 81, 338, 467, 468, 86, 89, 223, 97, 229, 490, 108]"
33,"[3, 6, 264, 265, 13, 144, 274, 19, 23, 32, 432, 180, 436, 324, 452, 336, 337, 465, 212, 343, 221, 97, 496, 241]"
34,"[135, 264, 268, 12, 274, 19, 282, 413, 418, 291, 298, 171, 172, 302, 57, 201, 210, 479, 353, 227, 101, 497, 370, 383]"
35,"[9, 139, 280, 408, 414, 161, 292, 43, 302, 304, 179, 54, 60, 61, 67, 197, 335, 211, 475, 487, 232, 364, 365, 249]"
36,"[142, 401, 20, 413, 287, 420, 40, 297, 425, 173, 47, 177, 50, 178, 437, 182, 321, 67, 466, 226, 355, 359, 117]"
37,"[1, 265, 140, 269, 268, 402, 407, 156, 158, 180, 321, 329, 75, 77, 205, 333, 213, 85, 474, 353, 97, 229, 241]"
38,"[386, 395, 15, 272, 147, 280, 411, 413, 160, 167, 169, 173, 52, 440, 194, 459, 460, 205, 226, 231, 107, 367, 499, 380, 383]"
39,"[1, 3, 4, 391, 9, 276, 149, 30, 161, 47, 48, 304, 311, 187, 59, 316, 324, 336, 83, 103, 107, 493, 121, 382]"
40,"[2, 261, 135, 8, 395, 15, 407, 28, 295, 168, 301, 432, 54, 193, 68, 71, 461, 207, 463, 210, 91, 488, 113, 253]"
41,"[284, 162, 164, 182, 58, 444, 60, 62, 191, 192, 326, 213, 88, 473, 347, 351, 480, 98, 489, 362, 235, 368, 116, 248, 383]"
42,"[259, 7, 136, 393, 142, 287, 418, 165, 169, 43, 431, 437, 182, 190, 450, 451, 197, 85, 87, 96, 367, 114, 243, 124]"
43,"[385, 130, 144, 274, 276, 149, 285, 427, 432, 191, 75, 204, 465, 467, 470, 93, 95, 351, 353, 236, 238, 113, 499]"
44,"[384, 133, 145, 405, 407, 286, 31, 166, 424, 173, 191, 65, 452, 72, 345, 90, 375, 481, 226, 101, 486, 494, 245, 119, 120]"
45,"[257, 135, 264, 270, 143, 37, 172, 302, 174, 51, 442, 446, 201, 202, 329, 206, 81, 212, 91, 477, 357, 377, 365, 249, 253]"
46,"[128, 261, 265, 13, 270, 271, 274, 287, 417, 169, 170, 429, 302, 54, 64, 77, 85, 343, 345, 351, 224, 114, 374, 119, 249]"
47,"[142, 148, 149, 407, 156, 287, 291, 301, 176, 433, 180, 311, 442, 444, 203, 467, 481, 355, 99, 103, 360, 362, 112, 380]"
48,"[395, 398, 20, 413, 414, 292, 166, 428, 305, 434, 180, 311, 188, 61, 467, 214, 471, 477, 234, 491, 112, 120, 254]"
49,"[1, 266, 396, 141, 142, 146, 26, 161, 166, 300, 46, 47, 48, 302, 436, 437, 308, 70, 341, 101, 105, 489, 112, 120]"
50,"[0, 130, 2, 133, 139, 162, 36, 38, 423, 174, 49, 183, 60, 452, 455, 329, 330, 343, 348, 477, 488, 107, 111, 368]"
51,"[4, 389, 268, 399, 149, 161, 291, 39, 429, 46, 302, 180, 441, 195, 325, 198, 331, 220, 353, 482, 487, 236, 110, 122]"
52,"[256, 384, 264, 149, 28, 290, 36, 49, 54, 56, 191, 455, 71, 459, 332, 465, 212, 86, 346, 219, 349, 113, 373, 253]"
53,"[256, 387, 274, 403, 406, 407, 410, 412, 39, 179, 308, 310, 440, 315, 191, 459, 348, 478, 482, 356, 101, 493, 373, 376, 382]"
54,"[259, 389, 7, 139, 19, 412, 37, 422, 167, 425, 426, 432, 441, 63, 67, 207, 211, 88, 345, 487, 364, 368, 113, 116, 119]"
55,"[258, 391, 157, 41, 298, 43, 430, 303, 54, 182, 311, 447, 65, 69, 71, 467, 84, 85, 351, 224, 231, 110, 124, 254]"
56,"[262, 143, 273, 284, 162, 163, 300, 430, 48, 436, 313, 447, 450, 457, 204, 81, 211, 343, 473, 101, 230, 236, 378, 252, 126]"
57,"[9, 138, 10, 275, 155, 29, 287, 163, 41, 427, 300, 50, 438, 185, 187, 70, 199, 463, 343, 483, 359, 240, 369, 116, 381]"
58,"[131, 259, 274, 403, 148, 275, 289, 421, 44, 435, 190, 63, 192, 451, 195, 330, 462, 339, 471, 88, 96, 227, 113, 373, 119]"
59,"[258, 269, 274, 280, 411, 422, 44, 174, 47, 438, 444, 197, 210, 467, 213, 342, 89, 351, 483, 102, 232, 106, 370, 250, 379]"
60,"[258, 261, 395, 268, 15, 401, 275, 405, 290, 163, 36, 41, 171, 303, 310, 441, 195, 73, 463, 223, 355, 358, 487, 365, 372]"
61,"[2, 389, 395, 12, 147, 283, 429, 175, 312, 445, 447, 320, 193, 63, 327, 74, 78, 462, 470, 474, 476, 486, 492, 120, 251]"
62,"[385, 391, 9, 394, 267, 396, 271, 409, 154, 419, 303, 432, 49, 191, 194, 325, 454, 339, 91, 220, 99, 103, 106, 116]"
63,"[2, 133, 390, 7, 11, 273, 288, 291, 426, 43, 48, 307, 181, 321, 449, 342, 215, 216, 346, 348, 349, 357, 122, 253, 383]"
64,"[387, 255, 137, 13, 406, 29, 414, 158, 418, 290, 420, 422, 176, 181, 319, 328, 223, 355, 358, 359, 233, 105, 237, 118, 127]"
65,"[5, 395, 12, 145, 274, 23, 280, 156, 164, 165, 43, 175, 54, 320, 68, 454, 70, 336, 213, 216, 481, 100, 107, 492, 369]"
66,"[7, 273, 402, 404, 28, 294, 296, 169, 175, 176, 433, 48, 183, 314, 326, 456, 200, 203, 84, 93, 222, 487, 105, 234, 251]"
67,"[128, 259, 4, 389, 390, 9, 397, 147, 149, 279, 410, 161, 36, 421, 39, 297, 171, 47, 199, 329, 474, 365, 369, 121]"
68,"[130, 386, 387, 141, 154, 27, 287, 164, 42, 174, 436, 437, 182, 314, 73, 74, 331, 341, 220, 477, 350, 351, 482, 237, 497]"
69,"[385, 4, 264, 398, 18, 24, 26, 413, 419, 166, 429, 431, 60, 194, 67, 453, 69, 197, 333, 495, 243, 378, 124]"
70,"[386, 135, 136, 12, 18, 413, 33, 289, 169, 183, 57, 60, 450, 466, 213, 86, 90, 346, 221, 351, 99, 106, 365, 109, 254]"
71,"[390, 391, 11, 160, 297, 172, 45, 177, 307, 309, 315, 194, 204, 213, 470, 344, 219, 93, 482, 355, 487, 234, 246, 250, 382]"
72,"[129, 396, 271, 143, 19, 404, 285, 287, 288, 164, 307, 313, 323, 212, 85, 469, 350, 222, 225, 226, 228, 110, 111, 253, 125]"
73,"[0, 10, 398, 279, 152, 27, 155, 28, 44, 307, 436, 315, 63, 193, 65, 201, 202, 76, 80, 469, 470, 96, 365, 245, 373]"
74,"[256, 0, 267, 274, 278, 158, 36, 302, 433, 177, 54, 323, 73, 459, 203, 469, 97, 482, 356, 358, 114, 380, 126]"
75,"[2, 145, 411, 158, 33, 295, 296, 304, 309, 457, 202, 77, 78, 335, 84, 213, 86, 224, 480, 483, 357, 358, 237, 112, 369]"
76,"[392, 8, 266, 11, 138, 9, 404, 422, 294, 424, 298, 171, 304, 176, 313, 451, 71, 331, 79, 342, 106, 235, 108, 245, 127]"
77,"[133, 271, 23, 281, 155, 285, 415, 287, 420, 294, 429, 431, 52, 181, 439, 313, 186, 315, 316, 333, 81, 342, 343, 345, 353]"
78,"[384, 261, 392, 393, 13, 406, 158, 294, 423, 175, 303, 433, 306, 448, 67, 324, 463, 347, 477, 356, 230, 246, 119, 248, 124]"
79,"[399, 401, 17, 19, 275, 279, 158, 30, 291, 36, 421, 165, 432, 179, 313, 73, 219, 92, 351, 228, 101, 233, 108, 240]"
80,"[260, 390, 394, 146, 152, 156, 161, 46, 180, 441, 192, 452, 329, 80, 214, 86, 485, 489, 490, 108, 238, 114, 117, 118, 247]"
81,"[1, 262, 400, 282, 29, 287, 163, 441, 317, 197, 202, 333, 340, 91, 481, 231, 487, 491, 107, 108, 110, 498, 242, 379]"
82,"[259, 270, 400, 401, 145, 403, 416, 33, 294, 174, 438, 185, 315, 194, 68, 455, 460, 466, 467, 220, 360, 234, 494, 379]"
83,"[10, 18, 23, 285, 433, 182, 58, 59, 315, 191, 454, 73, 78, 81, 82, 84, 348, 96, 353, 99, 234, 123, 115, 379]"
84,"[5, 261, 269, 18, 147, 412, 29, 289, 418, 170, 427, 434, 438, 441, 192, 65, 323, 463, 476, 98, 356, 493, 496, 116, 373]"
85,"[384, 393, 267, 12, 400, 154, 40, 304, 307, 309, 312, 324, 79, 80, 208, 211, 85, 344, 346, 358, 230, 489, 108, 243, 127]"
86,"[257, 13, 17, 422, 45, 47, 175, 53, 443, 60, 316, 190, 449, 72, 336, 86, 347, 353, 360, 233, 112, 117, 376, 380]"
87,"[129, 2, 136, 398, 406, 407, 155, 289, 295, 429, 60, 71, 206, 220, 353, 226, 105, 361, 491, 108, 107, 122, 252]"
88,"[130, 2, 402, 147, 279, 280, 411, 162, 56, 193, 454, 459, 77, 461, 208, 209, 340, 480, 232, 237, 494, 371, 248, 382]"
89,"[260, 395, 13, 144, 150, 406, 26, 284, 166, 57, 317, 63, 64, 324, 198, 199, 80, 346, 477, 352, 98, 100, 240, 114, 122]"
90,"[130, 135, 267, 11, 14, 274, 275, 410, 160, 296, 175, 178, 434, 62, 198, 70, 77, 216, 219, 485, 363, 369, 114, 248, 123]"
91,"[397, 270, 15, 402, 275, 150, 406, 414, 302, 305, 309, 57, 60, 444, 62, 64, 321, 80, 337, 350, 222, 356, 100, 494]"
92,"[274, 275, 407, 165, 422, 47, 304, 49, 186, 61, 455, 331, 460, 341, 347, 486, 488, 489, 491, 109, 368, 372, 123, 382, 127]"
93,"[261, 135, 264, 142, 270, 145, 146, 19, 282, 37, 171, 54, 192, 196, 329, 465, 466, 219, 99, 363, 112, 247, 253, 255]"
94,"[259, 137, 14, 143, 21, 409, 157, 291, 294, 39, 425, 315, 188, 200, 331, 204, 215, 479, 352, 484, 229, 488, 494, 112, 373]"
95,"[385, 285, 159, 32, 416, 163, 40, 426, 64, 196, 325, 457, 458, 330, 460, 205, 336, 477, 96, 113, 498, 370, 116]"
96,"[259, 263, 8, 137, 10, 397, 398, 143, 145, 149, 411, 285, 414, 418, 39, 301, 64, 199, 348, 223, 359, 111, 242, 254, 255]"
97,"[131, 395, 18, 280, 45, 178, 182, 187, 61, 193, 450, 452, 69, 470, 344, 221, 94, 485, 103, 233, 490, 110, 495, 112, 377]"
98,"[258, 259, 9, 137, 11, 21, 33, 167, 40, 180, 445, 193, 324, 68, 197, 464, 479, 481, 354, 356, 485, 234, 369, 242, 373]"
99,"[129, 264, 136, 395, 140, 402, 407, 414, 33, 299, 173, 303, 438, 311, 186, 446, 326, 468, 84, 476, 352, 359, 242, 372, 120]"
